name,start time(s),end time(s),start frame,end frame
160_M.mp4,88.49,93.46,2653.0,2802.0
155_S.mp4,89.52,93.26,2684.0,2796.0
157_F.mp4,119.92,123.89,3595.0,3714.0
153_T.mp4,89.56,93.53,2685.0,2804.0
144_M.mp4,90.29,94.26,2707.0,2826.0
151_T.mp4,89.32,93.29,2678.0,2797.0
151_T.mp4,149.32,153.29,4476.0,4595.0
151_F.mp4,89.39,93.36,2680.0,2799.0
155_T.mp4,88.39,92.36,2650.0,2769.0
157_T.mp4,89.56,93.53,2685.0,2804.0
157_T.mp4,149.58,153.55,4484.0,4603.0
151_S.mp4,90.62,94.56,2717.0,2835.0
150_T.mp4,89.42,93.43,2681.0,2801.0
154_F.mp4,89.22,93.19,2675.0,2794.0
149_T.mp4,89.96,93.93,2697.0,2816.0
156_S.mp4,90.92,94.89,2726.0,2845.0
152_T.mp4,89.42,93.39,2681.0,2800.0
156_T.mp4,89.62,93.56,2687.0,2805.0
149_S.mp4,89.29,93.26,2677.0,2796.0
150_S.mp4,91.52,95.43,2744.0,2861.0
152_F.mp4,89.59,93.49,2686.0,2803.0
152_F.mp4,149.58,153.49,4484.0,4601.0
152_S.mp4,88.19,92.13,2644.0,2762.0
150_F.mp4,89.12,93.09,2672.0,2791.0
150_F.mp4,149.35,153.32,4477.0,4596.0
154_T.mp4,137.67,141.64,4127.0,4246.0
154_T.mp4,148.72,152.69,4458.0,4577.0
149_F.mp4,90.59,94.56,2716.0,2835.0
149_F.mp4,150.62,154.59,4515.0,4634.0
158_T.mp4,88.32,92.29,2648.0,2767.0
156_M.mp4,90.62,94.56,2717.0,2835.0
154_M.mp4,90.66,94.59,2718.0,2836.0
145_S.mp4,89.06,92.99,2670.0,2788.0
147_T.mp4,90.59,94.56,2716.0,2835.0
158_S.mp4,90.12,94.09,2702.0,2821.0
158_S.mp4,150.12,154.09,4500.0,4619.0
150_M.mp4,90.96,94.93,2727.0,2846.0
152_M.mp4,90.59,94.56,2716.0,2835.0
158_F.mp4,89.62,93.46,2687.0,2802.0
143_S.mp4,89.19,93.19,2674.0,2794.0
160_S.mp4,93.89,98.87,2815.0,2964.0
155_M.mp4,90.92,94.89,2726.0,2845.0
144_S.mp4,89.59,93.46,2686.0,2802.0
146_F.mp4,89.62,93.59,2687.0,2806.0
146_S.mp4,120.25,124.22,3605.0,3724.0
146_S.mp4,180.21,184.22,5402.0,5522.0
159_T.mp4,88.72,92.69,2660.0,2779.0
157_M.mp4,176.71,179.65,5297.0,5385.0
160_F.mp4,90.82,95.80,2723.0,2872.0
144_T.mp4,89.89,93.86,2695.0,2814.0
160_T.mp4,77.18,82.15,2314.0,2463.0
160_T.mp4,137.27,142.24,4115.0,4264.0
151_M.mp4,90.56,94.39,2715.0,2830.0
151_M.mp4,151.35,154.42,4537.0,4629.0
103_MDLC_resnet50_KF_FullMay24shuffle1_50000_full.mp4,113.91,117.75,3415.0,3530.0
